pid,base,eff_con,eff_inc,move_con,move_inc
P1,569.0,565.0714285714286,543.7272727272727,580.4,561.5238095238095
P10,631.65,572.85,654.65,578.9,635.75
P11,492.35,452.7894736842105,509.25,467.3,475.55
P12,595.85,646.1666666666666,580.75,571.75,560.15
P13,690.55,662.1,737.1578947368421,632.1578947368421,731.45
P14,486.95,500.55,513.4,453.65,486.94736842105266
P15,472.3,498.1,529.3333333333334,449.95,542.35
P16,427.0,393.65,450.27777777777777,395.15,402.9
P17,565.35,537.9473684210526,611.45,525.65,571.9473684210526
P18,506.6,488.2,523.65,471.15,530.35
P19,433.8,437.4,466.5263157894737,435.7894736842105,453.5
P2,494.3333333333333,503.1578947368421,502.2,446.27777777777777,496.6190476190476
P20,608.2,600.85,621.8421052631579,548.65,696.1578947368421
P21,552.4736842105264,569.15,682.55,526.6111111111111,621.0555555555555
P22,515.9,469.0,503.3,462.55,480.95
P23,438.4,430.15,437.42105263157896,430.95,436.7
P24,464.8,467.95,496.05,460.77777777777777,498.1
P25,453.45,464.2,458.7894736842105,430.3,466.1
P26,528.3,504.35,525.45,449.94736842105266,497.4
P27,501.4,500.94736842105266,557.4,481.25,559.15
P28,455.9,467.6842105263158,453.65,414.25,433.15
P29,430.6,390.6,459.6842105263158,396.65,459.95
P3,500.1333333333333,513.5909090909091,504.0,467.4,512.6538461538462
P30,467.9,469.4,461.85,426.1,458.75
P31,509.0,471.45,491.05,477.15,508.42105263157896
P32,461.3,412.2,479.4,389.45,436.6
P33,506.75,469.8,530.9,459.25,509.3157894736842
P34,491.85,468.7894736842105,502.3,493.65,519.2
P35,413.5263157894737,452.85,455.1,399.05,462.5263157894737
P36,520.65,504.75,553.2,476.5,627.35
P37,494.45,463.75,516.55,420.42105263157896,507.1
P38,485.7368421052632,477.55,506.75,447.1,532.95
P39,530.55,560.6315789473684,572.25,503.15,542.35
P40,447.35,420.2105263157895,447.8,423.6,485.4736842105263
P41,557.1666666666666,448.15,563.1,454.75,523.85
P42,559.5,518.4,584.2,509.3157894736842,574.9
P43,438.7,432.8421052631579,433.65,413.2105263157895,435.25
P44,539.1,475.05,569.3684210526316,454.95,526.35
P45,515.9,492.65,563.2,449.3,547.35
P46,462.6,459.85,484.35,415.6,464.4
P47,547.75,513.5,559.55,528.2,548.2
P48,658.0,649.7,663.35,584.05,670.2777777777778
P49,568.35,502.9,541.0526315789474,485.3,535.85
P5,590.1,548.1,520.65,549.1578947368421,528.65
P6,452.45,422.36842105263156,421.3,419.85,453.8
P7,479.65,500.65,489.4736842105263,479.1578947368421,491.8
P8,666.2,604.9,769.95,589.2,881.7
P9,465.25,459.15,460.25,414.1,439.15
